t,count
1741048363,0
1741048364,0
1741048365,0
1741048366,0
1741048367,0
1741048368,0
1741048369,0
1741048370,0
1741048371,0
1741048372,0
1741048373,0
1741048374,0
1741048375,0
1741048376,0
1741048377,0
1741048378,0
1741048379,0
1741048380,0
1741048382,0
1741048383,0
1741048384,0
1741048385,0
1741048386,0
1741048387,0
1741048388,0
1741048389,0
1741048390,0
1741048391,0
1741048392,0
1741048393,0
1741048394,0
1741048395,0
1741048396,0
1741048397,0
1741048398,0
1741048399,624504200
1741048400,2309084200
1741048401,2372486200
1741048402,2390942000
1741048403,2403451100
1741048404,2636930300
1741048404,2666241600
1741048404,2666241600
1741048404,2666241600
