t,value
1741053712,0
1741053713,0
1741053714,0
1741053715,0
1741053716,0
1741053717,0
1741053718,0
1741053719,0
1741053720,0
1741053721,0
1741053722,0
1741053723,0
1741053724,0
1741053725,0
1741053726,0
1741053727,0
1741053728,0
1741053729,0
1741053730,0
1741053731,0
1741053732,0
1741053733,0
1741053734,0
1741053735,0
1741053736,798
1741053737,798
1741053738,798
1741053739,798
1741053740,798
1741053741,798
1741053742,798
1741053743,798
1741053744,798
1741053745,798
1741053746,46636
1741053747,46636
1741053748,129644
1741053749,636808
1741053750,636808
1741053751,822198
1741053752,9533662
1741053753,9533662
1741053754,9533662
1741053754,9533662
1741053754,9533662
