t,value
1741053712,0
1741053713,0
1741053714,0
1741053715,0
1741053716,0
1741053717,0
1741053718,0
1741053719,0
1741053720,0
1741053721,0
1741053722,0
1741053723,0
1741053724,0
1741053725,0
1741053726,0
1741053727,0
1741053728,0
1741053729,0
1741053730,0
1741053731,0
1741053732,0
1741053733,0
1741053734,0
1741053735,0
1741053736,0
1741053737,0
1741053738,0
1741053739,0
1741053740,0
1741053741,0
1741053742,0
1741053743,0
1741053744,0
1741053745,5
1741053746,5
1741053747,5
1741053748,5
1741053749,5
1741053750,5
1741053751,20
1741053752,20
1741053753,22
1741053754,22
1741053754,22
1741053754,22
