t,value
1741051115,0
1741051116,0
1741051117,0
1741051118,0
1741051119,0
1741051120,0
1741051121,0
1741051122,0
1741051123,0
1741051124,0
1741051125,0
1741051126,0
1741051127,0
1741051128,0
1741051129,0
1741051130,0
1741051131,0
1741051132,0
1741051133,0
1741051134,0
1741051135,0
1741051136,0
1741051137,0
1741051138,0
1741051139,0
1741051140,0
1741051141,0
1741051142,0
1741051143,0
1741051144,0
1741051145,0
1741051146,1
1741051147,3
1741051148,3
1741051149,3
1741051150,3
1741051151,3
1741051152,0
1741051153,1
1741051154,1
1741051155,1
1741051156,2
1741051157,2
1741051158,2
1741051159,0
1741051161,0
1741051161,0
1741051161,0
1741051161,0
