t,count
1741053914,0
1741053915,0
1741053916,0
1741053917,0
1741053918,0
1741053919,0
1741053920,0
1741053921,0
1741053922,0
1741053923,0
1741053924,0
1741053925,0
1741053926,0
1741053927,0
1741053928,0
1741053929,0
1741053930,0
1741053931,0
1741053932,0
1741053933,0
1741053934,0
1741053935,0
1741053936,0
1741053937,0
1741053938,0
1741053939,0
1741053940,0
1741053941,0
1741053942,0
1741053943,0
1741053944,0
1741053945,0
1741053946,0
1741053947,0
1741053948,545384200
1741053949,2803398800
1741053950,2803398800
1741053951,2803398800
1741053953,11482631800
1741053954,11731707700
1741053955,12057517000
1741053955,12057517000
1741053955,12057517000
