t,value
1741050794,0
1741050795,0
1741050797,0
1741050798,0
1741050799,0
1741050800,0
1741050801,0
1741050802,0
1741050803,0
1741050804,0
1741050805,0
1741050806,0
1741050807,0
1741050808,0
1741050809,0
1741050810,0
1741050811,0
1741050812,0
1741050813,0
1741050814,0
1741050815,0
1741050816,0
1741050817,627
1741050818,627
1741050819,627
1741050820,627
1741050821,627
1741050822,627
1741050823,627
1741050824,627
1741050825,627
1741050826,46465
1741050827,46465
1741050828,227320
1741050829,892758
1741050830,892758
1741050831,892758
1741050832,22948756
1741050833,27810506
1741050834,27810506
1741050834,27810506
1741050834,27810506
